Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,F,I,M
F,0.7579032182693481,0.7267983555793762,0.6093342304229736,0.6786401271820068,0.6922367811203003,1.098587155342102,0.4754008948802948,9,1,0,0
F,0.2998695969581604,0.3236863613128662,0.011563297361135483,0.2034502774477005,0.10423034429550171,0.06757581233978271,0.43947774171829224,10,1,0,0
F,0.46642711758613586,0.42446428537368774,1.0875507593154907,0.3400929272174835,0.15829986333847046,0.8339914679527283,0.331708163022995,10,1,0,0
M,0.5497058629989624,0.374075323343277,0.011563297361135483,0.2085488736629486,-0.015173188410699368,0.4872795641422272,0.2957850694656372,11,0,0,1
M,0.674624502658844,0.6764094233512878,0.9679967761039734,0.21976584196090698,0.15604698657989502,0.35041967034339905,0.40355440974235535,14,0,0,1
M,0.4247877299785614,0.17251944541931152,0.011563297361135483,0.07088657468557358,0.15154124796390533,0.42341163754463196,-0.2789853513240814,10,0,0,1
M,0.46642711758613586,0.6260204315185547,0.6093342304229736,0.3441717326641083,0.15379412472248077,0.5602715611457825,0.6550166606903076,9,0,0,1
F,1.2992156744003296,1.5330225229263306,0.6093342304229736,1.6524735689163208,1.1090227365493774,0.9115452170372009,1.5890185832977295,14,1,0,0
M,1.174297571182251,1.1802992820739746,0.6093342304229736,1.0386017560958862,0.8657099604606628,1.6140927076339722,0.7987091541290283,17,0,0,1
F,1.2992156744003296,1.4322446584701538,0.8484423756599426,1.9767446517944336,2.0529870986938477,1.933432698249817,1.5530954599380493,18,1,0,0
F,1.5074125528335571,1.4322446584701538,1.4462133646011353,1.79625403881073,1.2329323291778564,2.106788396835327,1.8045574426651,12,1,0,0
M,-0.491279274225235,-0.5329269170761108,-0.8253158926963806,-0.7122589349746704,-0.5964208841323853,-0.5163597464561462,-0.8178326487541199,7,0,0,1
F,0.13331210613250732,0.6764094233512878,0.37022578716278076,0.7918292284011841,0.7710881233215332,1.157893180847168,0.726862907409668,15,1,0,0
F,-0.6161976456642151,-0.5329269170761108,-0.8253158926963806,-0.6245629787445068,-0.551362931728363,-0.5847896933555603,-0.6741400361061096,7,1,0,0
F,0.4247877299785614,0.374075323343277,-0.10799074918031693,0.11065572500228882,0.09747173637151718,0.20899780094623566,0.15209238231182098,10,1,0,0
M,-1.407346487045288,-1.1879839897155762,-1.1839781999588013,-1.0222541093826294,-1.0154598951339722,-0.8630714416503906,-1.0692946910858154,8,0,0,1
F,-0.6161976456642151,-0.7344827651977539,-0.8253158926963806,-0.8234084844589233,-0.7789056301116943,-0.817451536655426,-0.8896788954734802,8,1,0,0
F,0.21659085154533386,0.17251944541931152,-0.10799074918031693,0.04641323164105415,0.011861506849527359,0.14056777954101562,0.22393883764743805,13,1,0,0
I,-2.365053176879883,-2.346931219100952,-2.259965658187866,-1.547410249710083,-1.4773038625717163,-1.4333211183547974,-1.5722187757492065,4,0,1,0
I,-2.656528949737549,-2.5988762378692627,-2.020857334136963,-1.6045145988464355,-1.5043387413024902,-1.5108749866485596,-1.6296958923339844,4,0,1,0
I,-2.614889621734619,-2.5988762378692627,-2.140411615371704,-1.6045145988464355,-1.5403850078582764,-1.5336849689483643,-1.6081420183181763,3,0,1,0
I,-1.1158705949783325,-1.1375950574874878,-1.0644241571426392,-1.2761645317077637,-1.2249794006347656,-1.2371551990509033,-1.1770641803741455,6,0,1,0
M,-0.4496398866176605,-0.3817597031593323,-0.466653436422348,-0.5083147883415222,-0.299038290977478,0.42341163754463196,-0.7100631594657898,8,0,0,1
F,-0.5329186320304871,-0.3313707411289215,-0.466653436422348,-0.7510083317756653,-0.8194577693939209,-0.6440956592559814,-0.6382168531417847,6,1,0,0
I,-1.6571829319000244,-1.6414850950241089,-1.6621949672698975,-1.3618210554122925,-1.2790489196777344,-1.4150731563568115,-1.3926030397415161,5,0,1,0
F,0.008393485099077225,0.17251944541931152,0.48977982997894287,0.01378222368657589,-0.021931927651166916,0.30023765563964844,0.04432303085923195,8,1,0,0
I,-0.03324589133262634,0.021352272480726242,-0.466653436422348,-0.476703405380249,-0.5446042418479919,-0.6349716186523438,-0.35083168745040894,7,0,1,0
M,-1.032591700553894,-0.8856499195098877,-1.0644241571426392,-1.0722204446792603,-1.0177128314971924,-1.1002953052520752,-0.9974483847618103,6,0,0,1
M,-0.3247215151786804,-0.4825376272201538,-0.22754515707492828,-0.5858136415481567,-0.44998252391815186,-0.7718315720558167,-0.5663706064224243,9,0,0,1
F,-0.4496398866176605,-0.4825376272201538,-0.466653436422348,-0.7163378596305847,-0.6707665324211121,-0.6851536631584167,-0.6382168531417847,9,1,0,0
M,-0.9909522533416748,-0.9864278435707092,-0.9448699355125427,-0.9049862027168274,-0.839733898639679,-0.8128895163536072,-0.92560213804245,6,0,0,1
F,-0.1998033970594406,-0.07942565530538559,0.011563297361135483,-0.3410806655883789,-0.46349987387657166,-0.046473994851112366,-0.13529276847839355,7,1,0,0
M,-0.6578370332717896,-0.5833158493041992,-0.466653436422348,-0.7877182960510254,-0.7541237473487854,-0.7763935327529907,-0.74598628282547,7,0,0,1
M,-0.4496398866176605,-0.23059284687042236,-0.10799074918031693,-0.4879203736782074,-0.3733840584754944,-0.5528557300567627,-0.4945242404937744,7,0,0,1
I,-2.323413372039795,-2.1957643032073975,-1.9013034105300903,-1.5147792100906372,-1.4299931526184082,-1.5199990272521973,-1.5362956523895264,3,0,1,0
F,-0.15816402435302734,-0.07942565530538559,-0.3470992147922516,-0.5011767745018005,-0.5108107328414917,-0.46161577105522156,-0.4586011469364166,6,1,0,0
M,-0.6161976456642151,-0.6337048411369324,-0.8253158926963806,-0.8509409427642822,-0.8081932663917542,-0.6212856769561768,-0.74598628282547,6,0,0,1
M,-0.15816402435302734,-0.029036689549684525,-0.7057616710662842,-0.41552022099494934,-0.24496877193450928,-0.1878959834575653,-0.4586011469364166,8,0,0,1
F,0.050032857805490494,0.021352272480726242,-0.22754515707492828,-0.26970013976097107,-0.258486270904541,0.11775781214237213,-0.2789853513240814,9,1,0,0
M,-0.8243945240974426,-0.8352609872817993,-1.0644241571426392,-0.9182425141334534,-0.8509983420372009,-0.9178154468536377,-0.9974483847618103,6,0,0,1
M,-0.03324589133262634,-0.07942565530538559,-0.466653436422348,-0.5072951316833496,-0.5648803114891052,-0.447929710149765,-0.3867548108100891,7,0,0,1
M,-0.40800052881240845,-0.5329269170761108,-0.466653436422348,-0.711239218711853,-0.5648803114891052,-0.7216496467590332,-0.74598628282547,7,0,0,1
F,0.34150898456573486,0.3236863613128662,0.48977982997894287,0.1759178638458252,-0.02418479695916176,0.11775781214237213,0.5831702351570129,11,1,0,0
F,0.5913457274436951,0.8779655694961548,1.0875507593154907,0.9305111169815063,0.25517457723617554,0.3960397243499756,1.76863431930542,12,1,0,0
F,-0.40800052881240845,-0.1802038848400116,-0.466653436422348,-0.6082473993301392,-0.6572491526603699,-0.5939136743545532,-0.4945242404937744,9,1,0,0
I,-1.782101035118103,-1.7422630786895752,-1.6621949672698975,-1.3822154998779297,-1.3353713750839233,-1.2782132625579834,-1.3926030397415161,5,0,1,0
M,0.2582302391529083,0.17251944541931152,-0.22754515707492828,-0.12693925201892853,-0.4297064542770386,-0.1149040162563324,0.25986194610595703,12,0,0,1
F,-1.032591700553894,-0.8856499195098877,-0.7057616710662842,-0.9702483415603638,-0.9861722588539124,-0.749021589756012,-0.9974483847618103,7,1,0,0
F,0.5913457274436951,0.6764094233512878,0.7288882732391357,0.8530123829841614,0.5435454249382019,0.40516361594200134,1.3375564813613892,19,1,0,0
M,0.3831483721733093,0.7267983555793762,0.8484423756599426,0.7265669107437134,0.5165107250213623,0.733627438545227,1.014248013496399,10,0,0,1
F,0.674624502658844,0.42446428537368774,1.3266589641571045,0.5491357445716858,0.5480512976646423,0.9936612248420715,0.5472471117973328,12,1,0,0
F,0.6329851150512695,0.6764094233512878,0.25067174434661865,0.36456626653671265,0.3745780885219574,0.36866769194602966,0.2957850694656372,14,1,0,0
M,0.5913457274436951,0.6764094233512878,0.011563297361135483,0.2350616306066513,0.014114510267972946,0.07669983059167862,0.5472471117973328,8,0,0,1
F,0.6329851150512695,0.6260204315185547,0.25067174434661865,0.19019389152526855,0.01636737957596779,0.12231989204883575,0.4754008948802948,9,1,0,0
F,0.2582302391529083,0.17251944541931152,0.011563297361135483,-0.08309128135442734,-0.3486020863056183,-0.192457914352417,0.331708163022995,10,1,0,0
F,0.7579032182693481,0.6764094233512878,0.7288882732391357,0.5583130717277527,0.49623462557792664,0.5009655356407166,0.7627860307693481,13,1,0,0
F,0.4247877299785614,0.374075323343277,0.011563297361135483,0.22894325852394104,0.11324195563793182,0.6515114903450012,0.331708163022995,8,1,0,0
M,0.7995426058769226,1.0291324853897095,0.8484423756599426,1.6035269498825073,0.6809722781181335,0.10407186299562454,3.133714199066162,11,0,0,1
F,-0.03324589133262634,0.17251944541931152,0.6093342304229736,0.3258167803287506,0.16505859792232513,0.40516361594200134,0.5831702351570129,15,1,0,0
M,0.5913457274436951,0.6764094233512878,0.48977982997894287,0.9967930316925049,0.21912813186645508,0.4872795641422272,2.451174020767212,20,0,0,1
M,0.46642711758613586,0.42446428537368774,0.011563297361135483,0.37578311562538147,0.09296586364507675,0.3230477571487427,0.870555579662323,13,0,0,1
F,0.3831483721733093,0.5756314396858215,0.9679967761039734,0.9509055614471436,-0.09177180379629135,0.38235363364219666,1.4453258514404297,11,1,0,0
M,0.8411819934844971,0.5756314396858215,0.011563297361135483,0.7469615936279297,0.5548098683357239,0.22268375754356384,1.1579407453536987,12,0,0,1
M,0.2998695969581604,0.3236863613128662,0.48977982997894287,0.07292599231004715,-0.13007096946239471,0.24549371004104614,0.15209238231182098,9,0,0,1
F,-0.5329186320304871,-0.5329269170761108,-0.22754515707492828,-0.635779857635498,-0.6257085204124451,-0.607599675655365,-0.5304473638534546,8,1,0,0
F,0.4247877299785614,0.42446428537368774,0.48977982997894287,0.3033829629421234,-0.20666959881782532,0.4599076807498932,0.6550166606903076,11,1,0,0
M,0.34150898456573486,0.17251944541931152,-0.10799074918031693,-0.035164348781108856,-0.08276019245386124,-0.11946595460176468,0.1161692664027214,14,0,0,1
M,0.2582302391529083,0.3236863613128662,0.25067174434661865,-0.1503928303718567,-0.23595716059207916,-0.2563258707523346,0.15209238231182098,11,0,0,1
M,0.5913457274436951,0.5756314396858215,0.8484423756599426,0.5838061571121216,0.1898404210805893,0.6697595119476318,1.0860942602157593,12,0,0,1
F,0.8411819934844971,0.8779655694961548,0.6093342304229736,0.8836039900779724,0.6652020812034607,1.2536948919296265,1.0860942602157593,9,1,0,0
M,1.4241337776184082,1.5330225229263306,1.2071048021316528,1.3567544221878052,1.0301713943481445,1.4772329330444336,1.76863431930542,14,0,0,1
M,1.174297571182251,1.2810777425765991,1.3266589641571045,1.5851718187332153,0.9738489985466003,1.8923746347427368,1.7327109575271606,13,0,0,1
M,0.09167273342609406,0.27329736948013306,0.25067174434661865,-0.21157601475715637,-0.40717747807502747,-0.3840617537498474,0.08024614304304123,8,0,0,1
M,-0.4496398866176605,-0.3313707411289215,-0.22754515707492828,-0.6235432028770447,-0.6549962162971497,-0.44336774945259094,-0.6741400361061096,7,0,0,1
M,-0.4496398866176605,-0.3817597031593323,-0.22754515707492828,-0.6245629787445068,-0.7135715484619141,-0.43424373865127563,-0.5304473638534546,6,0,0,1
F,-0.40800052881240845,-0.3313707411289215,-0.3470992147922516,-0.5103542804718018,-0.36887818574905396,-0.8721954822540283,-0.6022937297821045,9,1,0,0
I,-1.3657068014144897,-1.4399292469024658,-1.0644241571426392,-1.2180404663085938,-1.1461280584335327,-1.2280311584472656,-1.1770641803741455,6,0,1,0
M,0.21659085154533386,0.27329736948013306,0.1311173439025879,0.02907801978290081,-0.14133545756340027,0.09950979053974152,0.1161692664027214,14,0,0,1
M,0.050032857805490494,0.27329736948013306,0.48977982997894287,0.11065572500228882,-0.1954049915075302,-0.15139992535114288,0.6909397840499878,14,0,0,1
M,0.050032857805490494,0.07174123823642731,0.011563297361135483,-0.2136155515909195,-0.22018694877624512,-0.11946595460176468,-0.24306224286556244,9,0,0,1
M,0.674624502658844,0.6260204315185547,0.48977982997894287,0.7031133770942688,0.6223968863487244,0.5465855598449707,0.7627860307693481,11,0,0,1
F,-0.03324589133262634,0.021352272480726242,0.37022578716278076,-0.20749719440937042,-0.30804991722106934,0.026517964899539948,-0.027523312717676163,11,1,0,0
F,0.1749514788389206,0.2229084074497223,0.6093342304229736,-0.05453909933567047,-0.296785444021225,0.021955890581011772,0.2957850694656372,10,1,0,0
F,-0.1998033970594406,-0.07942565530538559,-0.3470992147922516,-0.3288439214229584,-0.4432238042354584,-0.447929710149765,-0.13529276847839355,9,1,0,0
F,-0.11652464419603348,-0.1802038848400116,-0.10799074918031693,-0.39818501472473145,-0.5783976912498474,-0.014540022239089012,-0.2789853513240814,8,1,0,0
F,-0.7411157488822937,-0.12981460988521576,-0.8253158926963806,-0.9488341212272644,-1.0064482688903809,-0.7535836100578308,-0.7819095253944397,8,1,0,0
M,-0.24144276976585388,-0.12981460988521576,-0.3470992147922516,-0.5858136415481567,-0.5491100549697876,-0.42055779695510864,-0.6022937297821045,8,0,0,1
M,-0.491279274225235,-0.4825376272201538,-0.8253158926963806,-0.81117182970047,-0.8442396521568298,-0.6714676022529602,-0.4586011469364166,8,0,0,1
I,-0.7411157488822937,-0.8856499195098877,-1.4230866432189941,-1.012056827545166,-0.9501258730888367,-1.0683612823486328,-0.9615252614021301,8,0,1,0
M,-0.8243945240974426,-0.5833158493041992,-0.8253158926963806,-0.8886706233024597,-1.0334831476211548,-1.0729233026504517,-0.5304473638534546,8,0,0,1
F,0.1749514788389206,0.021352272480726242,-0.3470992147922516,-0.27581852674484253,-0.27876222133636475,-0.3156318664550781,-0.20713910460472107,10,1,0,0
F,0.050032857805490494,0.07174123823642731,-0.5862074494361877,-0.48384153842926025,-0.5693861246109009,-0.2015819251537323,-0.4226779341697693,10,1,0,0
F,-0.28308215737342834,-0.3313707411289215,-0.10799074918031693,-0.4410132169723511,-0.4680057466030121,-0.7170876264572144,-0.13529276847839355,10,1,0,0
M,-0.699476420879364,-0.6840937733650208,-0.8253158926963806,-0.8703156113624573,-1.0312302112579346,-0.7763935327529907,-0.5304473638534546,9,0,0,1
F,0.2998695969581604,0.2229084074497223,0.25067174434661865,0.10963595658540726,-0.05797823518514633,-0.07840797305107117,0.5113239884376526,8,1,0,0
M,-0.9909522533416748,-1.0368168354034424,-1.303532361984253,-1.158896565437317,-1.1033228635787964,-1.104857325553894,-1.1052178144454956,7,0,0,1
F,-0.4496398866176605,-0.43214866518974304,-0.8253158926963806,-0.8325859308242798,-0.8847917914390564,-0.7034016251564026,-0.7100631594657898,8,1,0,0
I,-1.1575099229812622,-1.1375950574874878,-1.303532361984253,-1.1731727123260498,-1.155139446258545,-1.1231052875518799,-1.1052178144454956,6,0,1,0
F,-0.07488526403903961,0.17251944541931152,0.011563297361135483,-0.12795902788639069,-0.2494746446609497,-0.07384603470563889,0.1161692664027214,13,1,0,0
M,-1.2824280261993408,-1.4399292469024658,-1.5426406860351562,-1.2537306547164917,-1.213714838027954,-1.1824113130569458,-1.2129873037338257,5,0,0,1
I,-1.3657068014144897,-1.2887619733810425,-1.4230866432189941,-1.3322491645812988,-1.2542670965194702,-1.186973214149475,-1.2129873037338257,5,0,1,0
I,-2.1152162551879883,-2.1453752517700195,-1.9013034105300903,-1.5412918329238892,-1.490821361541748,-1.4333211183547974,-1.5003725290298462,4,0,1,0
I,-1.2407886981964111,-1.3391510248184204,-1.1839781999588013,-1.2047841548919678,-1.1348633766174316,-1.1504772901535034,-1.2129873037338257,5,0,1,0
I,-1.1575099229812622,-1.1879839897155762,-1.303532361984253,-1.1792911291122437,-1.114587426185608,-1.0911712646484375,-1.1411410570144653,7,0,1,0
M,1.4657732248306274,1.2810777425765991,0.48977982997894287,1.8288851976394653,1.2194148302078247,0.7564374208450317,2.1637890338897705,18,0,0,1
M,1.5490518808364868,1.3314666748046875,0.6093342304229736,2.3050947189331055,1.834455966949463,0.733627438545227,3.8880999088287354,17,0,0,1
M,0.5913457274436951,0.7267983555793762,0.6093342304229736,0.8836039900779724,0.5593157410621643,0.9343551993370056,1.229786992073059,16,0,0,1
F,-0.699476420879364,-0.5833158493041992,-0.3470992147922516,-0.8672565221786499,-0.8307222723960876,-1.0729233026504517,-0.7890941500663757,8,1,0,0
F,-1.6571829319000244,-1.4903181791305542,-1.1839781999588013,-1.299618124961853,-1.2362438440322876,-1.319271206855774,-1.270464301109314,6,1,0,0
I,-1.4489858150482178,-1.4903181791305542,-1.0644241571426392,-1.2598490715026855,-1.2317380905151367,-1.1367913484573364,-1.2273565530776978,6,0,1,0
I,-2.156856060028076,-2.0949862003326416,-1.7817491292953491,-1.4913256168365479,-1.4390047788619995,-1.4606930017471313,-1.5147417783737183,6,0,1,0
F,-0.8243945240974426,-0.7848716974258423,-0.5862074494361877,-0.8621578812599182,-0.882538914680481,-0.9086914658546448,-0.7423940300941467,7,1,0,0
F,-1.8237404823303223,-1.7926521301269531,-1.4230866432189941,-1.3720182180404663,-1.31509530544281,-1.332957148551941,-1.371049165725708,6,1,0,0
M,-1.490625262260437,-1.5407071113586426,-1.1839781999588013,-1.2812631130218506,-1.195691704750061,-1.3785771131515503,-1.263279676437378,8,0,0,1
F,-0.9909522533416748,-0.8352609872817993,-0.7057616710662842,-0.9651496410369873,-0.9388613700866699,-1.0729233026504517,-0.8753097057342529,8,1,0,0
M,-1.2407886981964111,-1.2383729219436646,-1.0644241571426392,-1.1741925477981567,-1.1866800785064697,-1.1231052875518799,-1.0513331890106201,8,0,0,1
F,0.34150898456573486,0.374075323343277,0.37022578716278076,-0.0055925254710018635,-0.08276019245386124,0.22724582254886627,0.06228458508849144,9,1,0,0
F,0.21659085154533386,0.42446428537368774,0.1311173439025879,-0.17894501984119415,-0.29002681374549866,-0.3384418189525604,0.19879251718521118,9,1,0,0
M,1.0493788719177246,1.1299103498458862,1.2071048021316528,1.051857829093933,0.7192714810371399,1.1442070007324219,1.4920259714126587,15,0,0,1
M,0.2998695969581604,0.4748535454273224,0.37022578716278076,-0.06473629921674728,-0.08726593106985092,0.08582384139299393,0.02636147104203701,10,0,0,1
M,-0.40800052881240845,-0.3313707411289215,-0.22754515707492828,-0.6347602009773254,-0.6842839121818542,-0.5847896933555603,-0.4945242404937744,9,0,0,1
F,-0.28308215737342834,-0.28098180890083313,-0.3470992147922516,-0.5705177187919617,-0.5153165459632874,-0.6669056415557861,-0.46578577160835266,9,1,0,0
M,-0.5329186320304871,-0.5833158493041992,-0.466653436422348,-0.6398587822914124,-0.6099382638931274,-0.6623436212539673,-0.5915167927742004,9,0,0,1
I,-2.031937599182129,-2.0445971488952637,-1.4230866432189941,-1.4311621189117432,-1.3849350214004517,-1.2918992042541504,-1.4141569137573242,8,0,1,0
I,-2.906365394592285,-2.8004324436187744,-2.020857334136963,-1.6259287595748901,-1.5719256401062012,-1.5884289741516113,-1.6261035203933716,4,0,1,0
I,-2.948004722595215,-2.8004324436187744,-1.0644241571426392,-1.6289879083633423,-1.5606610774993896,-1.5747430324554443,-1.6440651416778564,3,0,1,0
M,0.5497058629989624,0.6764094233512878,0.1311173439025879,0.4573606848716736,0.3700723648071289,0.7427513599395752,0.6190933585166931,14,0,0,1
F,0.674624502658844,0.9283545017242432,1.0875507593154907,0.5909441709518433,0.4939817488193512,0.7108175158500671,0.6909397840499878,8,1,0,0
F,0.9244607090950012,1.0795214176177979,1.2071048021316528,1.10692298412323,0.6629490852355957,1.1350831985473633,1.51717209815979,9,1,0,0
F,0.674624502658844,0.7771876454353333,0.48977982997894287,0.46449869871139526,0.04790794476866722,0.5009655356407166,0.8346322774887085,9,1,0,0
F,0.34150898456573486,0.42446428537368774,-0.10799074918031693,0.3258167803287506,0.12450642883777618,-0.2836979031562805,0.5113239884376526,11,1,0,0
M,-0.07488526403903961,-0.029036689549684525,-0.22754515707492828,-0.21769438683986664,-0.17738190293312073,-0.45249176025390625,-0.20713910460472107,9,0,0,1
F,0.4247877299785614,0.5252425074577332,1.2071048021316528,0.3370337188243866,0.1470353752374649,0.5648335814476013,0.726862907409668,12,1,0,0
M,1.0077394247055054,0.7771876454353333,1.8048758506774902,1.3975434303283691,0.8409280180931091,0.7381893992424011,2.8463287353515625,15,0,0,1
F,0.46642711758613586,0.4748535454273224,0.7288882732391357,0.16062206029891968,0.06593116372823715,0.30023765563964844,0.331708163022995,12,1,0,0
F,0.4247877299785614,0.5252425074577332,0.6093342304229736,0.6021610498428345,-0.27425646781921387,-0.019102096557617188,1.4453258514404297,12,1,0,0
M,0.674624502658844,0.5756314396858215,0.6093342304229736,0.46347907185554504,0.2799564003944397,0.6104534864425659,0.726862907409668,12,0,0,1
F,0.674624502658844,0.7771876454353333,0.48977982997894287,0.8020263910293579,0.7688351273536682,0.7016933560371399,0.2957850694656372,12,1,0,0
M,0.7162638306617737,0.7771876454353333,0.8484423756599426,0.847913920879364,0.8319165110588074,1.0620911121368408,0.7627860307693481,11,0,0,1
F,1.6739705801010132,1.5330225229263306,1.6853214502334595,2.6762731075286865,1.3095306158065796,1.9836145639419556,5.504642009735107,17,1,0,0
F,1.0493788719177246,1.3818557262420654,2.1635382175445557,1.8829303979873657,0.9062621593475342,0.9936612248420715,4.139562129974365,15,1,0,0
M,1.6739705801010132,1.6338005065917969,1.2071048021316528,3.510404586791992,3.2042179107666016,2.7591540813446045,3.492945671081543,13,0,0,1
F,1.6739705801010132,1.6841894388198853,0.8484423756599426,2.6416027545928955,1.8276971578598022,2.471748113632202,4.391024589538574,19,1,0,0
F,1.2992156744003296,1.6338005065917969,1.5657674074172974,2.0664801597595215,1.1968858242034912,2.0748543739318848,2.9540979862213135,19,1,0,0
M,1.5074125528335571,1.5330225229263306,1.9244298934936523,2.3499624729156494,2.06425142288208,1.1670169830322266,3.7444074153900146,13,0,0,1
F,1.2992156744003296,1.0795214176177979,0.8484423756599426,1.610664963722229,0.6899837851524353,2.0839786529541016,2.7385594844818115,11,1,0,0
M,1.4241337776184082,1.4322446584701538,1.8048758506774902,2.2999963760375977,1.5911428928375244,3.2883458137512207,2.5230202674865723,13,0,0,1
F,0.050032857805490494,-0.12981460988521576,0.1311173439025879,-0.10960404574871063,-0.23145142197608948,-0.10578000545501709,0.1161692664027214,6,1,0,0
M,0.008393485099077225,0.27329736948013306,0.37022578716278076,0.48183417320251465,0.570580244064331,0.47815555334091187,0.331708163022995,7,0,0,1
F,-0.03324589133262634,-0.029036689549684525,-0.5862074494361877,-0.10756450891494751,-0.17738190293312073,0.03564184159040451,-0.13529276847839355,7,1,0,0
I,-2.4066925048828125,-2.498098373413086,-2.3795199394226074,-1.592278003692627,-1.5358792543411255,-1.483502984046936,-1.6081420183181763,4,0,1,0
I,-1.3657068014144897,-1.4903181791305542,-1.1839781999588013,-1.3261308670043945,-1.3286126852035522,-1.3101471662521362,-1.1770641803741455,6,0,1,0
I,-1.7404617071151733,-1.9942082166671753,-1.9013034105300903,-1.4352409839630127,-1.3488887548446655,-1.3055851459503174,-1.4644492864608765,4,0,1,0
I,-1.7404617071151733,-1.6414850950241089,-1.303532361984253,-1.39751136302948,-1.3804293870925903,-1.2143452167510986,-1.356679916381836,7,0,1,0
I,-2.489971160888672,-2.498098373413086,-2.259965658187866,-1.595337152481079,-1.506591558456421,-1.5108749866485596,-1.6081420183181763,3,0,1,0
M,0.46642711758613586,0.6764094233512878,0.25067174434661865,0.2880871593952179,0.11549482494592667,0.32760971784591675,0.7987091541290283,10,0,0,1
M,0.3831483721733093,0.7267983555793762,0.9679967761039734,0.2258840799331665,0.17857594788074493,0.17706382274627686,0.40355440974235535,13,0,0,1
M,0.9661000967025757,1.0291324853897095,0.8484423756599426,1.0997849702835083,0.7012482285499573,0.7792474031448364,2.3793277740478516,20,0,0,1
